Time,area_km2,elevation_m,changed_storage_mcm
2012-01-31,10.86,51.9,44.18
2012-02-29,12.47,52.6,52.11
2012-03-31,13.21,52.9,55.86
2012-04-30,13.95,53.2,60.38
2012-05-31,11.66,52.3,48.05
2012-06-30,9.37,51.3,38.07
2012-07-31,9.6,51.4,39.02
2012-08-31,9.83,51.5,39.97
2012-09-30,10.06,51.6,40.92
2012-10-31,12.9,52.8,54.31
2012-11-30,12.87,52.8,54.15
2012-12-31,12.25,52.5,51.04
2013-01-31,13.78,53.1,59.22
2013-02-28,14.79,53.6,65.95
2013-03-31,16.09,54.2,75.34
2013-04-30,17.39,54.9,86.34
2013-05-31,15.26,53.8,69.02
2013-06-30,15.81,54.1,72.92
2013-07-31,16.36,54.4,77.57
2013-08-31,14.87,53.6,66.47
2013-09-30,13.39,53.0,56.77
2013-10-31,11.91,52.4,49.29
2013-11-30,15.69,54.0,71.96
2013-12-31,15.38,53.9,69.85
2014-01-31,16.43,54.4,78.16
2014-02-28,16.19,54.3,76.19
2014-03-31,17.05,54.7,83.41
2014-04-30,18.86,55.8,102.76
2014-05-31,13.71,53.1,58.78
2014-06-30,13.78,53.1,59.23
2014-07-31,13.85,53.2,59.69
2014-08-31,13.92,53.2,60.15
2014-09-30,13.99,53.2,60.61
2014-10-31,15.01,53.7,67.38
2014-11-30,14.31,53.4,62.78
2014-12-31,15.44,53.9,70.25
2015-01-31,15.98,54.2,74.36
2015-02-28,16.86,54.6,81.88
2015-03-31,16.96,54.7,82.68
2015-04-30,16.66,54.5,80.14
2015-05-31,17.8,55.1,90.41
2015-06-30,16.35,54.4,77.53
2015-07-31,13.86,53.2,59.79
2015-08-31,21.89,58.4,157.03
2015-09-30,13.14,52.9,55.5
2015-10-31,14.17,53.3,61.8
2015-11-30,16.22,54.3,76.4
2015-12-31,16.09,54.2,75.31
2016-01-31,15.96,54.2,74.24
2016-02-29,18.41,55.5,97.48
2016-03-31,17.06,54.7,83.5
2016-04-30,15.84,54.1,73.21
2016-05-31,17.77,55.1,90.01
2016-06-30,9.65,51.4,39.22
2016-07-31,11.64,52.3,47.96
2016-08-31,13.64,53.1,58.29
2016-09-30,15.63,54.0,71.49
2016-10-31,16.23,54.3,76.53
2016-11-30,15.61,54.0,71.34
2016-12-31,14.95,53.7,66.97
2017-01-31,13.93,53.2,60.2
2017-02-28,14.98,53.7,67.16
2017-03-31,13.44,53.0,57.04
2017-04-30,12.3,52.5,51.29
2017-05-31,15.53,53.9,70.82
2017-06-30,15.65,54.0,71.61
2017-07-31,15.77,54.1,72.61
2017-08-31,15.89,54.1,73.63
2017-09-30,16.01,54.2,74.65
2017-10-31,17.47,54.9,86.97
2017-11-30,13.93,53.2,60.25
2017-12-31,14.79,53.6,65.9
2018-01-31,15.47,53.9,70.41
2018-02-28,14.12,53.3,61.5
2018-03-31,12.06,52.4,50.04
2018-04-30,14.34,53.4,62.95
2018-05-31,15.56,54.0,71.03
2018-06-30,13.94,53.2,60.28
2018-07-31,12.31,52.5,51.35
2018-08-31,13.86,53.2,59.75
2018-09-30,15.4,53.9,69.97
2018-10-31,15.94,54.1,74.07
2018-11-30,16.69,54.5,80.42
2018-12-31,21.96,58.5,159.05
2019-01-31,21.92,58.5,157.9
2019-02-28,21.41,57.8,144.37
2019-03-31,20.17,56.7,120.85
2019-04-30,15.5,53.9,70.63
2019-05-31,13.64,53.1,58.34
2019-06-30,12.04,52.4,49.97
2019-07-31,13.85,53.2,59.67
2019-08-31,16.78,54.6,81.2
2019-09-30,18.15,55.3,94.45
2019-10-31,21.08,57.5,137.32
2019-11-30,21.05,57.5,136.73
2019-12-31,21.55,58.0,147.3
2020-01-31,21.04,57.5,136.53
2020-02-29,21.24,57.7,140.83
2020-03-31,19.44,56.2,110.27
2020-04-30,15.45,53.9,70.28
2020-05-31,11.63,52.2,47.9
2020-06-30,12.37,52.6,51.63
2020-07-31,8.08,50.5,32.76
2020-08-31,20.3,56.8,122.77
2020-09-30,14.03,53.3,60.86
2020-10-31,8.96,51.1,36.41
2020-11-30,17.78,55.1,90.1
2020-12-31,16.43,54.4,78.22
2021-01-31,16.11,54.2,75.52
2021-02-28,16.59,54.5,79.57
2021-03-31,14.61,53.5,64.71
2021-04-30,11.06,52.0,45.03
2021-05-31,12.17,52.5,50.62
2021-06-30,13.28,52.9,56.21
2021-07-31,6.83,49.3,27.62
2021-08-31,13.57,53.0,57.85
2021-09-30,15.34,53.9,69.56
2021-10-31,13.77,53.1,59.18
2021-11-30,15.46,53.9,70.37
2021-12-31,14.4,53.4,63.36
2022-01-31,14.12,53.3,61.48
2022-02-28,13.75,53.1,59.04
2022-03-31,12.17,52.5,50.62
2022-04-30,11.94,52.4,49.48
2022-05-31,14.55,53.5,64.35
2022-06-30,6.65,49.1,26.88
2022-07-31,10.94,52.0,44.49
2022-08-31,12.89,52.8,54.25
2022-09-30,14.13,53.3,61.54
2022-10-31,15.37,53.9,69.75
2022-11-30,11.32,52.1,46.36
2022-12-31,14.65,53.5,64.98
2023-01-31,14.56,53.5,64.39
2023-02-28,14.99,53.7,67.27
2023-03-31,12.78,52.7,53.68
2023-04-30,10.65,51.8,43.34
2023-05-31,8.66,51.0,35.17
2023-06-30,14.43,53.4,63.55
2023-07-31,7.45,49.9,30.19
2023-08-31,8.74,51.0,35.51
2023-09-30,13.06,52.8,55.09
2023-10-31,18.96,55.8,103.96
2023-11-30,20.22,56.7,121.59
2023-12-31,20.87,57.3,132.88
2024-01-31,20.35,56.8,123.49
2024-02-29,19.89,56.5,116.83
2024-03-31,18.52,55.6,98.84
2024-04-30,15.08,53.7,67.83
2024-05-31,14.43,53.4,63.53
2024-06-30,13.78,53.1,59.23
2024-07-31,13.13,52.9,55.45
2024-08-31,12.48,52.6,52.18
2024-09-30,17.54,55.0,87.61
2024-10-31,18.5,55.6,98.52
2024-11-30,19.34,56.1,108.83
2024-12-31,19.95,56.6,117.71
2025-01-31,20.29,56.8,122.58
2025-02-28,18.28,55.4,95.98
2025-03-31,16.93,54.6,82.4
2025-04-30,14.24,53.4,62.25
2025-05-31,12.72,52.7,53.39
